,TP,TN,FP,FN
5_o_Clock_Shadow,3099,1745,1294,33670
Arched_Eyebrows,7286,3275,3439,25808
Attractive,16799,3539,3488,15982
Bags_Under_Eyes,3592,2338,4511,29367
Bald,731,629,169,38279
Bangs,5334,1134,677,32663
Big_Lips,2885,3271,6756,26896
Big_Nose,4758,2178,4557,28315
Black_Hair,7572,1887,1975,28374
Blond_Hair,5114,1046,819,32829
Blurry,1036,1307,1015,36450
Brown_Hair,5770,3156,2356,28526
Bushy_Eyebrows,3639,1736,2091,32342
Chubby,1104,1362,1222,36120
Double_Chin,913,1190,912,36793
Eyeglasses,2513,104,100,37091
Goatee,1936,1099,608,36165
Gray_Hair,1247,784,436,37341
Heavy_Makeup,14105,1863,1239,22601
High_Cheekbones,14189,1212,3926,20481
Male,16244,283,309,22972
Mouth_Slightly_Open,17428,677,1935,19768
Mustache,708,1116,913,37071
Narrow_Eyes,1079,1885,3557,33287
No_Beard,32121,600,1115,5972
Oval_Face,4019,2728,7282,25779
Pale_Skin,814,1139,910,36945
Pointy_Nose,4300,3752,6809,24947
Receding_Hairline,1484,1344,1703,35277
Rosy_Cheeks,1586,1628,1056,35538
Sideburns,1737,1138,512,36421
Smiling,16645,552,2617,19994
Straight_Hair,4429,2928,3898,28553
Wavy_Hair,9803,2841,3000,24164
Wearing_Earrings,5334,1498,2273,30703
Wearing_Hat,1726,277,153,37652
Wearing_Lipstick,17450,1282,1336,19740
Wearing_Necklace,1156,2703,3742,32207
Wearing_Necktie,2074,847,788,36099
Young,28703,2310,2107,6688
