,TP,TN,FP,FN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1382,17372,354,796,0.7960829488501826,0.6345270887812089,0.6345270887812089,0.01997066455940592,0.7061824390766638
Arched_Eyebrows,3554,13409,1119,1822,0.7605392679733491,0.6610863094008396,0.6610863094008396,0.07702367840879518,0.7073335653974334
Attractive,8744,7629,2114,1417,0.8053048442802261,0.8605452218422847,0.8605452218422847,0.2169762906479548,0.8320086350634525
Bags_Under_Eyes,1963,15059,793,2089,0.712264150684955,0.4844521222891283,0.4844521222891283,0.05002523340587779,0.5766740185378151
Bald,325,19402,62,115,0.8397932794837383,0.7386363619576446,0.7386363619576446,0.0031853678584471143,0.7859728979765673
Bangs,2690,16358,522,334,0.8374844331141083,0.8895502642561012,0.8895502642561012,0.030924170614281744,0.8627320210247286
Big_Lips,678,14817,237,4172,0.740983605747559,0.13979381440416622,0.13979381440416622,0.015743324032433684,0.23521222202642142
Big_Nose,2403,14492,793,2216,0.7518773464480984,0.5202424766139332,0.5202424766139332,0.05188092901198031,0.6149707256336566
Black_Hair,3958,14065,1070,811,0.7871917261759761,0.8299433841832787,0.8299433841832787,0.07069705979050564,0.8080019499143176
Blond_Hair,2645,16405,517,337,0.8364958884135054,0.8869885979587564,0.8869885979587564,0.030551944212826383,0.8610021043158358
Blurry,479,18679,209,537,0.6962209292206091,0.4714566924493537,0.4714566924493537,0.011065226598312938,0.5622060906363642
Brown_Hair,2605,14894,908,1497,0.7415314543861283,0.6350560700548376,0.6350560700548376,0.05746108087220218,0.6841754712952317
Bushy_Eyebrows,1788,16576,498,1042,0.7821522306289798,0.6318021199180911,0.6318021199180911,0.02916715473649015,0.6989830863030527
Chubby,550,18517,251,586,0.6866416970204223,0.484154929151272,0.484154929151272,0.013373827791273774,0.5678880017211109
Double_Chin,407,18789,191,517,0.6806020055508327,0.4404761899994846,0.4404761899994846,0.010063224446255889,0.5348221240763958
Eyeglasses,1257,18569,31,47,0.9759316762609225,0.963957054475493,0.963957054475493,0.001666666666577061,0.9699069066783317
Goatee,971,18291,350,292,0.7350492045911815,0.7688044332788563,0.7688044332788563,0.018775816747021307,0.7515474872866453
Gray_Hair,549,18968,132,255,0.8061673996972578,0.6828358200462241,0.6828358200462241,0.006910994764036073,0.7393934418287185
Heavy_Makeup,7128,11282,975,519,0.8796741946341263,0.9321302470338524,0.9321302470338524,0.07954638165297002,0.9051423574473143
High_Cheekbones,7578,10012,813,1501,0.903110475401846,0.8346734220911253,0.8346734220911253,0.07510392609005968,0.8675438624394545
Male,8111,11527,124,142,0.9849423192489444,0.9827941353468079,0.9827941353468079,0.010642863272625279,0.9838665547092601
Mouth_Slightly_Open,9075,9642,560,627,0.9418785676240915,0.9353741495634534,0.9353741495634534,0.05489119779897165,0.9386145901506953
Mustache,252,19013,92,547,0.7325581374053542,0.3153942424087682,0.3153942424087682,0.004815493326102304,0.44094446035055657
Narrow_Eyes,495,17408,199,1802,0.7132564831221088,0.21549847617958273,0.21549847617958273,0.011302322939097954,0.3309926223323298
No_Beard,16218,2863,416,407,0.9749909822667433,0.9755187969338034,0.9755187969338034,0.12686794750629218,0.9752543181863326
Oval_Face,2381,12943,1303,3277,0.646308360302305,0.4208200776916189,0.4208200776916189,0.09146427066604912,0.5097404770436245
Pale_Skin,328,18934,110,532,0.748858445778862,0.38139534839372635,0.38139534839372635,0.005776097458213815,0.5053924642443075
Pointy_Nose,1975,13275,1106,3548,0.6410256408175834,0.3575955096220178,0.3575955096220178,0.076907030103824,0.45908833607994054
Receding_Hairline,765,18031,270,838,0.7391304340684729,0.47723019308968795,0.47723019308968795,0.014753292169020639,0.5799843597385974
Rosy_Cheeks,598,18357,229,720,0.7230955251232218,0.4537177538287422,0.4537177538287422,0.012321101903996497,0.5575752832548947
Sideburns,850,18525,253,276,0.7706255659377828,0.7548845463988592,0.7548845463988592,0.013473213334035936,0.7626733441426855
Smiling,8864,9666,562,812,0.9403776786611099,0.9160810251223562,0.9160810251223562,0.05494720374902745,0.9280698591134414
Straight_Hair,2353,14568,1282,1701,0.6473177439759786,0.5804144053822362,0.5804144053822362,0.08088328075199475,0.6120426798927573
Wavy_Hair,4654,12421,1074,1755,0.8124999998581529,0.7261663284871015,0.7261663284871015,0.07958503148724824,0.7669105997425529
Wearing_Earrings,2611,15564,557,1172,0.8241792926691354,0.690192968361038,0.690192968361038,0.03455120649869418,0.7512583153799852
Wearing_Hat,861,18877,64,102,0.9308108098045289,0.8940809959563022,0.8940809959563022,0.0033789134679595104,0.9120757704230826
Wearing_Lipstick,8934,9699,776,495,0.9200823891946361,0.9475023861546821,0.9475023861546821,0.07408114557765334,0.933590596724007
Wearing_Necklace,73,17446,34,2351,0.6822429842781029,0.030115511538731227,0.030115511538731227,0.0019450800914219061,0.057684628578401266
Wearing_Necktie,1004,18290,191,419,0.8401673633136674,0.7055516509447985,0.7055516509447985,0.010334938585015154,0.7669972113808381
Young,14885,3002,1478,539,0.9096742650547165,0.9650544605183444,0.9650544605183444,0.32991071421207346,0.9365458872653785
