,TP,TN,FP,FN,precision,recall,TPR,FPR,F1
Attractive,8641,7781,1928,1490,0.8175797141813246,0.8529266606600605,0.8529266606600605,0.19857863835631076,0.8348787271966351
Bald,344,19329,72,95,0.826923074935281,0.783599087053305,0.783599087053305,0.0037111489096587212,0.8046778610529419
Bangs,2659,16325,503,353,0.8409234658947111,0.8828021245409023,0.8828021245409023,0.02989065842465589,0.8613535654520958
Black_Hair,3923,14021,1062,834,0.786960882490078,0.8246794196290351,0.8246794196290351,0.07041039580518395,0.8053782724348488
Blond_Hair,2594,16425,447,374,0.8530088783778333,0.8739892180343702,0.8739892180343702,0.026493598860449642,0.8633711090395099
Brown_Hair,2575,14881,869,1515,0.7476771194112436,0.6295843519243071,0.6295843519243071,0.055174603171100026,0.6835673293510875
Chubby,543,18478,229,590,0.7033678747365701,0.479258605049198,0.479258605049198,0.012241406959307135,0.5700782575147536
Double_Chin,463,18715,204,458,0.6941529224975218,0.5027144402793545,0.5027144402793545,0.01078281093024035,0.5831229377506307
Eyeglasses,1271,18470,69,30,0.9485074619787257,0.9769408140069632,0.9769408140069632,0.0037218835965412435,0.9625136985473747
Goatee,880,18352,233,375,0.7906558842851249,0.7011952185647846,0.7011952185647846,0.01253699219733457,0.7432427444138114
Gray_Hair,568,18906,133,233,0.8102710402135934,0.709113607104727,0.709113607104727,0.006985661011240839,0.7563244013427012
Male,8060,11516,104,160,0.9872611463758867,0.9805352796860662,0.9805352796860662,0.008950086057749562,0.983886218635992
Mustache,296,18910,135,499,0.6867749404019143,0.37232704355682134,0.37232704355682134,0.007088474664894278,0.4828706688994082
Pale_Skin,434,18803,180,423,0.706840389728273,0.5064177356984624,0.5064177356984624,0.009482168255308319,0.5900742919044732
Receding_Hairline,976,17755,485,624,0.6680355916029872,0.60999999961875,0.60999999961875,0.026589912279243972,0.6376995986219502
Smiling,8807,9674,513,846,0.9449570814436741,0.9123588520757941,0.9123588520757941,0.05035829978891152,0.9283713969625598
Wearing_Hat,879,18796,85,80,0.9118257251952016,0.916579769638603,0.916579769638603,0.004501880196785028,0.9141960669155658
