,TP,TN,FP,FN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1468,17217,451,704,0.7649817609353925,0.6758747694862456,0.6758747694862456,0.02552637536645198,0.7176724421630939
Arched_Eyebrows,3818,12904,1575,1543,0.7079547560341266,0.7121805631948926,0.7121805631948926,0.10877823053327038,0.7100608723852775
Attractive,8555,7778,1931,1576,0.8158497042899246,0.844437863898486,0.844437863898486,0.1988876300135042,0.8298971573411625
Bags_Under_Eyes,2078,14776,1026,1960,0.6694587626709219,0.5146111935327857,0.5146111935327857,0.06492849006043991,0.5819093375681033
Bald,326,19318,83,113,0.79706601272111,0.7425968092423763,0.7425968092423763,0.0042781299930788035,0.7688674233410373
Bangs,2554,16405,423,458,0.8579106480154819,0.8479415667835519,0.8479415667835519,0.025136676965466086,0.8528964775251683
Big_Lips,806,14637,373,4024,0.6836301945007377,0.16687370596959136,0.16687370596959136,0.02485009993172218,0.26826395475432174
Big_Nose,2539,14215,1020,2066,0.7134026409908956,0.5513572202928648,0.5513572202928648,0.06695109943767961,0.6219985281440165
Black_Hair,3817,14106,977,940,0.7962035876520226,0.8023964681937362,0.8023964681937362,0.06477491214846019,0.7992875325071803
Blond_Hair,2564,16431,441,404,0.8532445920621483,0.8638814013261855,0.8638814013261855,0.026137980083799313,0.8585295516322248
Blurry,469,18609,219,543,0.6816860455208051,0.4634387347199222,0.4634387347199222,0.01163161249141536,0.5517642233955764
Brown_Hair,2589,14830,920,1501,0.7378170416820128,0.6330073348085556,0.6330073348085556,0.05841269840898967,0.6814049508291654
Bushy_Eyebrows,1722,16514,504,1100,0.773584905312855,0.6102055277780987,0.6102055277780987,0.029615701020706563,0.682249902896421
Chubby,480,18488,219,653,0.6866952779875604,0.4236540155131032,0.4236540155131032,0.011706847703442195,0.5240169947379634
Double_Chin,435,18698,221,486,0.663109755086723,0.47231270307023593,0.47231270307023593,0.01168137850776038,0.5516799192534504
Eyeglasses,1258,18490,49,43,0.9625095631503369,0.9669485004097244,0.9669485004097244,0.0026430767569640716,0.9647234256434547
Goatee,989,18119,466,266,0.6797250854434879,0.7880478081370136,0.7880478081370136,0.02507398439466914,0.7298888010779385
Gray_Hair,566,18881,158,235,0.781767954721315,0.706616728206471,0.706616728206471,0.00829875518628611,0.7422945822687576
Heavy_Makeup,7017,11300,915,608,0.8846444779520115,0.920262294961277,0.920262294961277,0.07490790011666738,0.9021014477553034
High_Cheekbones,7581,9862,922,1475,0.8915676818897368,0.8371245582114483,0.8371245582114483,0.08549703263302141,0.8634883095555634
Male,8047,11484,136,173,0.9833801782984992,0.9789537711704436,0.9789537711704436,0.011703958690903274,0.9811614824473319
Mouth_Slightly_Open,8869,9670,499,802,0.9467335609578635,0.9170716574380031,0.9170716574380031,0.04907070507925354,0.9316660791560928
Mustache,269,18909,136,526,0.6641975292242036,0.3383647794485978,0.3383647794485978,0.007140981884634236,0.4483328853990571
Narrow_Eyes,333,17409,143,1955,0.6995798304630676,0.14554195797834704,0.14554195797834704,0.008147219689599633,0.24095485219497934
No_Beard,16213,2813,454,360,0.9727605447307397,0.9782779218621687,0.9782779218621687,0.13896541165014833,0.9755109319551867
Oval_Face,1836,13399,792,3813,0.6986301367204604,0.32501327662860446,0.32501327662860446,0.0558100204315545,0.443638566138645
Pale_Skin,375,18827,156,482,0.7062146879355655,0.4375729283108834,0.4375729283108834,0.008217879154600543,0.540345348129498
Pointy_Nose,1579,13499,843,3919,0.6519405447349544,0.2871953437091314,0.2871953437091314,0.05877841304847452,0.39873694905813745
Receding_Hairline,725,17991,249,875,0.744353181987317,0.4531249997167968,0.4531249997167968,0.013651315788725256,0.5633250924616741
Rosy_Cheeks,590,18279,245,726,0.7065868255010936,0.4483282671365286,0.4483282671365286,0.013226085078102672,0.548581579350809
Sideburns,865,18401,318,256,0.7311918844199561,0.7716324703196855,0.7716324703196855,0.01698808696955029,0.7508675552661593
Smiling,8892,9528,659,761,0.931001989223013,0.9211644047528059,0.9211644047528059,0.06469029154170115,0.9260565713613804
Straight_Hair,2284,14485,1320,1751,0.6337402883924139,0.5660470878398892,0.5660470878398892,0.08351787408519343,0.5979835307587289
Wavy_Hair,4649,12380,1068,1743,0.8131887352084679,0.7273153941290182,0.7273153941290182,0.07941701367642645,0.767858118984366
Wearing_Earrings,2709,15377,687,1067,0.7977031799771193,0.7174258472676309,0.7174258472676309,0.04276643426028595,0.7554373149133312
Wearing_Hat,869,18792,89,90,0.9070981201387285,0.9061522409737724,0.9061522409737724,0.004713733382516089,0.9066244338484818
Wearing_Lipstick,8890,9641,795,514,0.9179143003698591,0.9453424073856505,0.9453424073856505,0.07617861248790929,0.9314259759919589
Wearing_Necklace,130,17345,78,2287,0.6249999969951924,0.05378568471088718,0.05378568471088718,0.00447684095709827,0.09904747305352962
Wearing_Necktie,1011,18171,250,408,0.8017446464696711,0.7124735724365936,0.7124735724365936,0.013571467346312824,0.7544771131154437
Young,14689,3059,1411,681,0.9123602483905366,0.9556929082006705,0.9556929082006705,0.31565995518665324,0.9335234913126204
