,TP,TN,FP,FN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1485,17192,534,693,0.7355126296505633,0.6818181815051341,0.6818181815051341,0.030125239759103844,0.7076478206094772
Arched_Eyebrows,3418,13245,1283,1958,0.7270793446655861,0.6357886903579262,0.6357886903579262,0.08831222466352476,0.6783760030519105
Attractive,8432,7892,1851,1729,0.8199941650471657,0.8298395826365673,0.8298395826365673,0.1899825515559907,0.8248869974917061
Bags_Under_Eyes,1855,15001,851,2197,0.6855136730652204,0.45779861785345544,0.45779861785345544,0.05368407771551324,0.5489785075387986
Bald,314,19392,72,126,0.8134715004832345,0.7136363620144628,0.7136363620144628,0.003699136867874068,0.7602900571971203
Bangs,2551,16490,390,473,0.8673920432276804,0.843584655805693,0.843584655805693,0.023104265401474866,0.8553222156527325
Big_Lips,791,14717,337,4059,0.7012411341301054,0.16309278347152725,0.16309278347152725,0.022386076788734815,0.26463669607924084
Big_Nose,2404,14359,926,2215,0.7219219217051286,0.5204589736911758,0.5204589736911758,0.06058227019557852,0.604855469720056
Black_Hair,3801,14233,902,968,0.8082075269385057,0.7970224364023857,0.7970224364023857,0.0595969606832113,0.802575513368638
Blond_Hair,2568,16485,437,414,0.8545757068703576,0.8611670017232841,0.8611670017232841,0.02582437064024203,0.8578581935577428
Blurry,391,18770,118,625,0.7681728865065366,0.38484251930625735,0.38484251930625735,0.006247352816272376,0.5127864398382787
Brown_Hair,2526,14912,890,1576,0.7394613580973474,0.615797171961044,0.615797171961044,0.05632198455535236,0.6719867346311156
Bushy_Eyebrows,1732,16601,473,1098,0.7854875279884411,0.612014134059359,0.612014134059359,0.027702940141284823,0.6879836186527842
Chubby,385,18606,162,751,0.7038391211995628,0.3389084504058904,0.3389084504058904,0.008631713554527295,0.45751590056561253
Double_Chin,359,18823,157,565,0.6957364327602007,0.3885281381076535,0.3885281381076535,0.00827186512074437,0.49861065055790854
Eyeglasses,1245,18564,36,59,0.9718969547448111,0.95475460049482,0.95475460049482,0.0019354838708636837,0.9632490157355872
Goatee,891,18332,309,372,0.7424999993812499,0.7054631823393006,0.7054631823393006,0.016576363928084526,0.7235074169141529
Gray_Hair,515,18986,114,289,0.8187599351053101,0.6405472628848915,0.6405472628848915,0.005968586387122063,0.7187713138510571
Heavy_Makeup,6956,11430,827,691,0.8937427725949193,0.9096377663254037,0.9096377663254037,0.0674716488482115,0.9016197202722223
High_Cheekbones,7659,9881,944,1420,0.8902708356514853,0.8435951095006503,0.8435951095006503,0.08720554271711727,0.8663042169256562
Male,8087,11520,131,166,0.9840593817249866,0.9798861019047757,0.9798861019047757,0.01124367007027348,0.9819678078184351
Mouth_Slightly_Open,8922,9772,430,780,0.9540205302658232,0.919604205223706,0.919604205223706,0.04214859830992466,0.9364957738189692
Mustache,254,18980,125,545,0.6701846948016235,0.31789737131677426,0.31789737131677426,0.006542789845247695,0.43123895162199216
Narrow_Eyes,231,17547,60,2066,0.7938144302618061,0.10056595555047194,0.10056595555047194,0.0034077355595270213,0.17851602901267824
No_Beard,16316,2770,509,309,0.9697473996451859,0.9814135337755541,0.9814135337755541,0.15523025307861232,0.9755450903932852
Oval_Face,1610,13627,619,4048,0.722296993843743,0.2845528454781631,0.2845528454781631,0.04345079320206017,0.4082663625070459
Pale_Skin,348,18921,123,512,0.7388535016160223,0.40465116232017306,0.40465116232017306,0.006458727157820903,0.52291464335053
Pointy_Nose,1298,13730,651,4225,0.6659825548147857,0.235017200754116,0.235017200754116,0.045268062023136914,0.3474300211542415
Receding_Hairline,657,18089,212,946,0.7560414260574897,0.40985651877114376,0.40985651877114376,0.011584066443823612,0.53155294171098
Rosy_Cheeks,662,18271,315,656,0.6775844414763721,0.5022761756431895,0.5022761756431895,0.01694824061030086,0.5769058286190369
Sideburns,796,18543,235,330,0.7720659546342715,0.7069271752158728,0.7069271752158728,0.01251464479643654,0.7380616236052987
Smiling,8904,9571,657,772,0.9312833384655074,0.9202149647664102,0.9202149647664102,0.06423543214076696,0.9257155679158653
Straight_Hair,1832,15025,825,2222,0.689499435194016,0.4518993585466455,0.4518993585466455,0.052050473182835934,0.5459688256317411
Wavy_Hair,4730,12345,1150,1679,0.8044217685706765,0.7380246527168006,0.7380246527168006,0.08521674693699764,0.7697936256286289
Wearing_Earrings,2701,15460,661,1082,0.8033908385474745,0.7139836107020926,0.7139836107020926,0.04100241920222056,0.7560526855694036
Wearing_Hat,874,18869,72,89,0.9238900624483192,0.9075804767314845,0.9075804767314845,0.003801277651454449,0.9156621496830225
Wearing_Lipstick,8955,9670,805,474,0.9175204917092704,0.9497295576466508,0.9497295576466508,0.07684964199743678,0.9333467302357199
Wearing_Necklace,92,17417,63,2332,0.5935483832674298,0.03795379536388045,0.03795379536388045,0.003604118992928826,0.0713453697126876
Wearing_Necktie,1046,18200,281,377,0.7882441591648498,0.7350667598488638,0.7350667598488638,0.015204804933975174,0.7607267727836666
Young,14840,2966,1514,584,0.9074232603089505,0.9621369293982017,0.9621369293982017,0.3379464284959941,0.9339789830306817
