,TP,TN,FP,FN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1150,17274,394,1022,0.7448186523673453,0.5294659297746473,0.5294659297746473,0.022300203756944748,0.6189446162080701
Arched_Eyebrows,3040,12955,1524,2321,0.6660823837278522,0.5670583845239585,0.5670583845239585,0.10525588783028829,0.6125939615394723
Attractive,8730,7399,2310,1401,0.7907608694935905,0.8617115782388992,0.8617115782388992,0.23792357603894082,0.8247125517156214
Bags_Under_Eyes,1428,15006,796,2610,0.642086330646544,0.3536404159599702,0.3536404159599702,0.05037337045624773,0.45608385992237704
Bald,76,19385,16,363,0.8260869475425332,0.17312072853503252,0.17312072853503252,0.000824699757701938,0.2862520664917503
Bangs,2459,16474,354,553,0.8741557053415728,0.8164010621459492,0.8164010621459492,0.02103636795691488,0.8442913457875306
Big_Lips,469,14862,148,4361,0.7601296584114592,0.09710144925525849,0.09710144925525849,0.009860093270495663,0.17220468247405793
Big_Nose,2120,14388,847,2485,0.7145264574605573,0.46036916385225424,0.46036916385225424,0.055595667866386894,0.5599572622889508
Black_Hair,3559,14350,733,1198,0.8292171479894647,0.7481606052663106,0.7481606052663106,0.04859775906327669,0.786605755981556
Blond_Hair,2475,16486,386,493,0.865082138809828,0.8338948784252376,0.8338948784252376,0.022878141297837946,0.8492017644167753
Blurry,202,18780,48,810,0.807999996768,0.19960474288576607,0.19960474288576607,0.00254939451866638,0.3201264646666181
Brown_Hair,2371,14846,904,1719,0.7239694654277956,0.5797066013252551,0.5797066013252551,0.05739682539318115,0.6438555819834929
Bushy_Eyebrows,979,16716,302,1843,0.7642466816828675,0.346917079962113,0.346917079962113,0.01774591608780433,0.4772113665441535
Chubby,259,18586,121,874,0.6815789455747923,0.22859664587061193,0.22859664587061193,0.0064681669959657795,0.3423657833410051
Double_Chin,263,18808,111,658,0.7032085542694958,0.28555917449993573,0.28555917449993573,0.005867117712042544,0.4061771947589906
Eyeglasses,1206,18514,25,95,0.9796913070839225,0.9269792460207691,0.9269792460207691,0.001348508549471465,0.9526061347010525
Goatee,831,18284,301,424,0.7340989392808313,0.6621513938947,0.6621513938947,0.01619585687295153,0.6962709712096146
Gray_Hair,448,18875,164,353,0.7320261425947285,0.5593008732093622,0.5593008732093622,0.008613897788296975,0.6341113268736313
Heavy_Makeup,7168,10967,1248,457,0.8517110265147682,0.9400655736472044,0.9400655736472044,0.10216946376568403,0.8937093695667104
High_Cheekbones,7660,9733,1051,1396,0.8793479507657733,0.8458480564437005,0.8458480564437005,0.09745919880401899,0.8622722529481741
Male,8047,11461,159,173,0.9806239335875427,0.9789537711704436,0.9789537711704436,0.013683304645982504,0.9797876406337868
Mouth_Slightly_Open,8832,9796,373,839,0.9594785441651843,0.9132457862771951,0.9132457862771951,0.036680106201526196,0.9357909814518767
Mustache,120,18939,106,675,0.5309734489779936,0.1509433960365492,0.1509433960365492,0.0055657652924355075,0.23506331790530718
Narrow_Eyes,0,17552,0,2288,0.0,0.0,0.0,0.0,0.0
No_Beard,16282,2662,605,291,0.9641736246246122,0.9824413201603547,0.9824413201603547,0.18518518512850163,0.9732212573082931
Oval_Face,1318,13418,773,4331,0.6303204205498228,0.2333156310438457,0.2333156310438457,0.05447114367877731,0.3405680810220632
Pale_Skin,0,18983,0,857,0.0,0.0,0.0,0.0,0.0
Pointy_Nose,1072,13557,785,4426,0.5772751747025981,0.19497999268916333,0.19497999268916333,0.05473434667028766,0.2915020017860173
Receding_Hairline,270,18104,136,1330,0.6650246289038803,0.16874999989453124,0.16874999989453124,0.007456140350468413,0.26919209960386953
Rosy_Cheeks,376,18354,170,940,0.6886446873834347,0.2857142854971776,0.2857142854971776,0.009177283523581447,0.4038663949535899
Sideburns,713,18488,231,408,0.7552966093693891,0.6360392501016598,0.6360392501016598,0.012340402798635589,0.6905564037313981
Smiling,8699,9651,536,954,0.9419599349277791,0.9011706204391204,0.9011706204391204,0.05261607931161126,0.9211134349210164
Straight_Hair,1600,14990,815,2435,0.6625258796428465,0.39653035925736546,0.39653035925736546,0.05156596013593382,0.49612356239573113
Wavy_Hair,4562,12412,1036,1830,0.8149339048204833,0.7137046306768297,0.7137046306768297,0.07703747768612154,0.7609669749601372
Wearing_Earrings,1778,15570,494,1998,0.7825704221907701,0.47086864394309624,0.47086864394309624,0.030751992029958167,0.587962493689092
Wearing_Hat,809,18810,71,150,0.919318180773502,0.8435870689847893,0.8435870689847893,0.0037603940467263175,0.8798254923532979
Wearing_Lipstick,9018,9493,943,386,0.9053307899904296,0.958953636648346,0.958953636648346,0.09036029129068988,0.9313705305268789
Wearing_Necklace,1,17422,1,2416,0.499999750000125,0.0004137360362375937,0.0004137360362375937,5.7395396885875254e-05,0.0008267862760064362
Wearing_Necktie,714,18256,165,705,0.8122866884956921,0.5031712470026982,0.5031712470026982,0.008957168448566463,0.6214094487399829
Young,14907,2672,1798,463,0.8923675545709447,0.9698763825003334,0.9698763825003334,0.4022371363753384,0.92950846417558
