,TP,TN,FP,FN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1510,17245,481,668,0.7584128574794511,0.6932966020691935,0.6932966020691935,0.027135281505859456,0.724393839828874
Arched_Eyebrows,3699,13285,1243,1677,0.7484823956397243,0.6880580355862986,0.6880580355862986,0.08555892069895657,0.7169989192379463
Attractive,8453,7906,1837,1708,0.8214771622136562,0.8319063083523367,0.8319063083523367,0.18854562247885193,0.8266583430277109
Bags_Under_Eyes,2042,14967,885,2010,0.6976426372744644,0.5039486672004075,0.5039486672004075,0.05582891748323057,0.5851836366250562
Bald,332,19370,94,108,0.7793427211752518,0.7545454528305785,0.7545454528305785,0.004829428688613367,0.7667431473209687
Bangs,2762,16216,664,262,0.8061879740787543,0.9133597880577514,0.9133597880577514,0.0393364928886649,0.8564336102040996
Big_Lips,711,14763,291,4139,0.7095808376151888,0.14659793811410352,0.14659793811410352,0.019330410520836293,0.24299356436224742
Big_Nose,2558,14360,925,2061,0.734424346616588,0.553799523586534,0.553799523586534,0.060516846577656734,0.6314485346063647
Black_Hair,3803,14247,888,966,0.8107013428244081,0.7974418115333525,0.7974418115333525,0.058671952424270105,0.8040164131835594
Blond_Hair,2647,16382,540,335,0.8305616564698584,0.8876592887700674,0.8876592887700674,0.03191112161494438,0.8581612768992728
Blurry,489,18705,183,527,0.7276785703457164,0.4812992121247055,0.4812992121247055,0.009688691232015635,0.5793834063353283
Brown_Hair,2498,15005,797,1604,0.7581183609231811,0.6089712333961552,0.6089712333961552,0.050436653584961605,0.6754084553431138
Bushy_Eyebrows,1900,16464,610,930,0.7569721112522024,0.6713780916355555,0.6713780916355555,0.035726836123010024,0.7116099884207224
Chubby,493,18551,217,643,0.6943661962051181,0.43397887285741293,0.43397887285741293,0.011562233588471749,0.5341273700359507
Double_Chin,410,18795,185,514,0.6890756290939906,0.4437229432427241,0.4437229432427241,0.00974710221234209,0.5398283575049464
Eyeglasses,1264,18570,30,40,0.9768160734336815,0.9693251526308856,0.9693251526308856,0.0016129032257197363,0.9730556963332566
Goatee,952,18307,334,311,0.7402799372159564,0.7537608861807118,0.7537608861807118,0.017917493695728905,0.7469590914518243
Gray_Hair,551,18965,135,253,0.8032069959136924,0.6853233822321848,0.6853233822321848,0.007068062826855075,0.7395968175797222
Heavy_Makeup,6939,11491,766,708,0.9005840362231559,0.9074146723018942,0.9074146723018942,0.062494900867871836,0.9039859511663519
High_Cheekbones,7501,10044,781,1578,0.9056991063866578,0.8261923118376261,0.8261923118376261,0.072147805997954,0.8641202313271642
Male,8090,11565,86,163,0.9894814088809343,0.9802496060850296,0.9802496060850296,0.0073813406568207585,0.9848433735294252
Mouth_Slightly_Open,8970,9714,488,732,0.9484034678633534,0.9245516387420581,0.9245516387420581,0.04783375808196101,0.9363251784804864
Mustache,309,18950,155,490,0.6659482744268356,0.3867334162869419,0.3867334162869419,0.00811305940810714,0.48931069829761253
Narrow_Eyes,418,17462,145,1879,0.7424511532105663,0.1819764909960921,0.1819764909960921,0.008235360935523635,0.29230737589965233
No_Beard,16129,2891,388,496,0.9765090512213774,0.9701654134754788,0.9701654134754788,0.11832875873183021,0.9733263963320811
Oval_Face,2069,13338,908,3589,0.6949949611370524,0.3656769175741115,0.3656769175741115,0.06373718938202041,0.47921205532652
Pale_Skin,336,18934,110,524,0.7533632270103964,0.39069767396430505,0.39069767396430505,0.005776097458213815,0.5145477883538284
Pointy_Nose,2040,13170,1211,3483,0.6274992308128271,0.36936447576147663,0.36936447576147663,0.08420833043013641,0.46500979100042744
Receding_Hairline,738,18059,242,865,0.7530612237213661,0.4603867745100519,0.4603867745100519,0.01322332112927035,0.571428100073396
Rosy_Cheeks,573,18391,195,745,0.7460937490285238,0.4347496203074737,0.4347496203074737,0.010491767996852912,0.549376331931572
Sideburns,871,18507,271,255,0.7626970220992144,0.7735346351922427,0.7735346351922427,0.01443178187163533,0.7680771007588273
Smiling,8847,9683,545,829,0.9419718908707441,0.9143241007736332,0.9143241007736332,0.05328509972103196,0.9279416019647687
Straight_Hair,2117,14908,942,1937,0.692056227299099,0.5222002958751356,0.5222002958751356,0.059432176652401754,0.5952476468304545
Wavy_Hair,4854,12300,1195,1555,0.802446685269888,0.7573724448810465,0.7573724448810465,0.0885513152954019,0.7792578082073326
Wearing_Earrings,2802,15407,714,981,0.7969283274183936,0.7406819982181649,0.7406819982181649,0.04429005644536381,0.7677759081860933
Wearing_Hat,887,18859,82,76,0.915376676041923,0.9210799575066667,0.9210799575066667,0.0043292328808231225,0.9182189607522795
Wearing_Lipstick,8859,9738,737,570,0.9231971653894125,0.9395482022547939,0.9395482022547939,0.07035799522001356,0.9313004197832042
Wearing_Necklace,86,17433,47,2338,0.646616536491605,0.035478547840149116,0.035478547840149116,0.00268878718520087,0.06726622905810732
Wearing_Necktie,959,18293,188,464,0.8360941579458637,0.6739283199761571,0.6739283199761571,0.010172609706716487,0.7463030071316993
Young,14851,3118,1362,573,0.9159933386223404,0.9628501036720144,0.9628501036720144,0.304017857074996,0.9388369374298838
