,TP,TN,FP,FN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1404,17368,358,774,0.7968217929643463,0.6446280988775812,0.6446280988775812,0.020196321786065872,0.7126898605424854
Arched_Eyebrows,3617,13353,1175,1759,0.7547996659526711,0.6728050593986598,0.6728050593986598,0.08087830395919064,0.7114471805027243
Attractive,8547,7831,1912,1614,0.8171909359578171,0.8411573663181618,0.8411573663181618,0.1962434568206668,0.8290004699564287
Bags_Under_Eyes,2158,14885,967,1894,0.6905599997790208,0.5325765052979822,0.5325765052979822,0.061001766334784144,0.6013649812131839
Bald,321,19397,67,119,0.827319585496599,0.7295454528873967,0.7295454528873967,0.0034422523631605913,0.7753618189400852
Bangs,2689,16354,526,335,0.8363919126480897,0.8892195764255226,0.8892195764255226,0.031161137438912256,0.8619966151148322
Big_Lips,688,14801,253,4162,0.7311370874270594,0.14185567007384417,0.14185567007384417,0.016806164473441864,0.23760981235354814
Big_Nose,2554,14290,995,2065,0.719639334821178,0.5529335352775636,0.5529335352775636,0.0650964998321821,0.625366795401187
Black_Hair,4019,13968,1167,750,0.7749710758243403,0.8427343256777658,0.8427343256777658,0.07710604558459822,0.8074329512427881
Blond_Hair,2613,16434,488,369,0.8426314089511024,0.8762575449777809,0.8762575449777809,0.028838198792764554,0.859115067885504
Blurry,455,18733,155,561,0.7459016381214727,0.4478346452285092,0.4478346452285092,0.008206268529849308,0.5596551270411465
Brown_Hair,2725,14751,1051,1377,0.7216631354021019,0.6643100924757898,0.6643100924757898,0.06651056827828689,0.6917994499066198
Bushy_Eyebrows,1834,16501,573,996,0.7619443287237456,0.6480565368734783,0.6480565368734783,0.03355979852210614,0.7004004959297694
Chubby,449,18592,176,687,0.71839999885056,0.39524647852531114,0.39524647852531114,0.009377664108622247,0.5099370770135299
Double_Chin,375,18848,132,549,0.7396449689553354,0.4058441554049306,0.4058441554049306,0.006954689146103546,0.5241085564012684
Eyeglasses,1267,18567,33,37,0.9746153838656804,0.9716257661260538,0.9716257661260538,0.00177419354829171,0.9731177788239265
Goatee,950,18331,310,313,0.7539682533698664,0.7521773549072229,0.7521773549072229,0.0166300091187903,0.7530712393961465
Gray_Hair,570,18927,173,234,0.7671601604748853,0.7089552229988119,0.7089552229988119,0.009057591622562429,0.736909648499905
Heavy_Makeup,7008,11405,852,639,0.891603053321679,0.9164378186326091,0.9164378186326091,0.06951129965982611,0.9038493742283771
High_Cheekbones,7460,10102,723,1619,0.9116460954525667,0.8216763959883603,0.8216763959883603,0.06678983833101249,0.8643257670333777
Male,8114,11526,125,139,0.9848282557367607,0.9831576395270619,0.9831576395270619,0.010728692815146452,0.9839917385424537
Mouth_Slightly_Open,8974,9759,443,728,0.9529574173353554,0.9249639248685875,0.9249639248685875,0.04342285825882936,0.9387515267928125
Mustache,349,18921,184,450,0.6547842389216055,0.43679599444706385,0.43679599444706385,0.009630986652204607,0.524023543177626
Narrow_Eyes,472,17427,180,1825,0.7239263792577816,0.20548541567022838,0.20548541567022838,0.010223206678581063,0.32010816672251846
No_Beard,16262,2837,442,363,0.9735392719723696,0.9781654134749975,0.9781654134749975,0.13479719422543546,0.9758463600363189
Oval_Face,2035,13346,900,3623,0.6933560474639332,0.3596677270484857,0.3596677270484857,0.06317562824209072,0.4736408860696445
Pale_Skin,448,18810,234,412,0.656891494637989,0.5209302319524067,0.5209302319524067,0.01228733459292757,0.5810630597355314
Pointy_Nose,1552,13705,676,3971,0.696588868628102,0.28100669920677046,0.28100669920677046,0.0470064668627351,0.4004640464540285
Receding_Hairline,821,18012,289,782,0.7396396389732975,0.5121646908844886,0.5121646908844886,0.015791486803136905,0.6052335743029789
Rosy_Cheeks,548,18393,193,770,0.7395411595957609,0.4157814867862052,0.4157814867862052,0.010384160119962113,0.5322967704145131
Sideburns,796,18597,181,330,0.8147389960954565,0.7069271752158728,0.7069271752158728,0.009638939183638357,0.7570132916143947
Smiling,8833,9694,534,843,0.9429913525202315,0.9128772218982144,0.9128772218982144,0.0522096206440937,0.9276894648509549
Straight_Hair,2430,14520,1330,1624,0.6462765955727988,0.5994079919587055,0.5994079919587055,0.08391167191899611,0.6219600841169765
Wavy_Hair,4714,12396,1099,1695,0.8109409941835642,0.735528163405285,0.735528163405285,0.08143756946413949,0.7713953446238733
Wearing_Earrings,2870,15300,821,913,0.7775670547879797,0.758657150209184,0.758657150209184,0.05092736182303037,0.7679952183613422
Wearing_Hat,871,18875,66,92,0.9295624323056965,0.9044652119372116,0.9044652119372116,0.003484504513833245,0.9168416043919624
Wearing_Lipstick,8920,9712,763,509,0.9212021066899512,0.9460176051600363,0.9460176051600363,0.07284009545844009,0.9334444560394551
Wearing_Necklace,91,17428,52,2333,0.6363636319135411,0.037541254109925225,0.037541254109925225,0.0029748283751158565,0.07089977786942579
Wearing_Necktie,1073,18208,273,350,0.7971768196157675,0.7540407584300486,0.7540407584300486,0.014771927925178728,0.7750085283573409
Young,14882,3053,1427,542,0.9125022992879697,0.9648599584436683,0.9648599584436683,0.318526785643186,0.9379505292274101
