,TP,TN,FP,FN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1334,17332,336,838,0.798802394731256,0.6141804785385909,0.6141804785385909,0.019017432645516332,0.6944294925581509
Arched_Eyebrows,3636,13226,1253,1725,0.7437103700667395,0.6782316730687872,0.6782316730687872,0.0865391256242462,0.7094629155563104
Attractive,8670,7659,2050,1461,0.8087686566409731,0.8557891618936146,0.8557891618936146,0.2111442990821769,0.8316142909770312
Bags_Under_Eyes,2092,14884,918,1946,0.6950166110647785,0.5180782564343541,0.5180782564343541,0.058093912159340975,0.5936430973022196
Bald,342,19318,83,97,0.8047058804595156,0.7790432784076463,0.7790432784076463,0.0042781299930788035,0.7916661649657006
Bangs,2618,16394,434,394,0.8577981648565537,0.869189906749937,0.869189906749937,0.025790349416104686,0.8634559641172114
Big_Lips,728,14707,303,4102,0.7061105715750624,0.15072463764995347,0.15072463764995347,0.02018654230378504,0.24842148101494024
Big_Nose,2468,14372,863,2137,0.7409186428277038,0.5359391964091337,0.5359391964091337,0.056645881190899514,0.621975319180873
Black_Hair,3843,14145,938,914,0.8038067348245541,0.8078620977910738,0.8078620977910738,0.06218921964713987,0.8058288141561644
Blond_Hair,2490,16524,348,478,0.8773784352088166,0.8389487867793299,0.8389487867793299,0.020625889045719187,0.8577328792183283
Blurry,469,18656,172,543,0.7316692656292211,0.4634387347199222,0.4634387347199222,0.009135330358554529,0.5674526400480623
Brown_Hair,2791,14635,1115,1299,0.7145417304878285,0.6823960878527149,0.6823960878527149,0.07079365078915596,0.6980985496152727
Bushy_Eyebrows,1955,16339,679,867,0.7422171599308212,0.6927710840918601,0.6927710840918601,0.039898930541785234,0.7166417290703111
Chubby,468,18513,194,665,0.7069486394154855,0.4130626651252756,0.4130626651252756,0.010370449563779844,0.5214480018116989
Double_Chin,369,18774,145,552,0.7178988312881346,0.4006514653630277,0.4006514653630277,0.007664252867082602,0.5142852537905505
Eyeglasses,1265,18497,42,36,0.9678653397338444,0.9723289769620838,0.9723289769620838,0.0022654943631120615,0.9700915237988458
Goatee,905,18265,320,350,0.7387755096009995,0.7211155372740115,0.7211155372740115,0.017218186708785676,0.7298382091623482
Gray_Hair,523,18895,144,278,0.7841079448514123,0.6529338318939653,0.6529338318939653,0.007563422448260759,0.7125335631411732
Heavy_Makeup,7021,11296,919,604,0.8842569268407736,0.9207868851251426,0.9207868851251426,0.0752353663466856,0.902151764785573
High_Cheekbones,7615,9813,971,1441,0.8869089213968193,0.8408789751721644,0.8408789751721644,0.09004080117859414,0.8632803074220138
Male,8087,11502,118,133,0.9856185251693335,0.9838199512185134,0.9838199512185134,0.010154905334754312,0.9847179169279503
Mouth_Slightly_Open,8937,9705,464,734,0.9506435484575424,0.9241029882200286,0.9241029882200286,0.04562887205766261,0.9371849026867605
Mustache,307,18878,167,488,0.6476793235281026,0.38616352152683836,0.38616352152683836,0.00876870569657292,0.4838450789063625
Narrow_Eyes,433,17411,141,1855,0.7543553993826561,0.18924825166553835,0.18924825166553835,0.008033272561073765,0.3025852835910516
No_Beard,16211,2797,470,362,0.971824231102942,0.9781572436506271,0.9781572436506271,0.14386287109156326,0.9749799534261726
Oval_Face,2145,13126,1065,3504,0.668224298857251,0.3797132235121768,0.3797132235121768,0.0750475653530373,0.4842528395168638
Pale_Skin,401,18808,175,456,0.6961805543469087,0.46791131800710467,0.46791131800710467,0.009218774692660867,0.5596645568263809
Pointy_Nose,1690,13467,875,3808,0.6588693954546319,0.30738450339989365,0.30738450339989365,0.06100962208471555,0.41919837543344035
Receding_Hairline,799,17962,278,801,0.7418755796268564,0.49937499968789056,0.49937499968789056,0.015241228069339845,0.5969363882689137
Rosy_Cheeks,510,18344,180,806,0.7391304337114052,0.38753799362649083,0.38753799362649083,0.009717123730850943,0.5084741244565435
Sideburns,826,18490,229,295,0.7829383878834706,0.73684210460585,0.73684210460585,0.012233559484361688,0.7591906762331121
Smiling,8797,9667,520,856,0.9441880432602567,0.911322904702028,0.911322904702028,0.05104545007842883,0.9274639175606657
Straight_Hair,2164,14727,1078,1871,0.6674892039890533,0.5363073108955868,0.5363073108955868,0.0682062638362413,0.5947500898064408
Wavy_Hair,4629,12443,1005,1763,0.8216187431981506,0.7241864829905841,0.7241864829905841,0.07473230219551366,0.7698315324590569
Wearing_Earrings,2849,15282,782,927,0.7846323324746262,0.7545021184442526,0.7545021184442526,0.048680278881431754,0.7692718099612699
Wearing_Hat,855,18807,74,104,0.9203444554140533,0.8915537008430097,0.8915537008430097,0.003919283936024613,0.9057198381501206
Wearing_Lipstick,8918,9624,812,486,0.91654676249573,0.9483198637868652,0.9483198637868652,0.0778075891071476,0.9321621424646155
Wearing_Necklace,102,17360,63,2315,0.6181818144352618,0.04220107569623456,0.04220107569623456,0.003615910003810141,0.07900840082523349
Wearing_Necktie,1052,18160,261,367,0.8012185827865813,0.7413671594493536,0.7413671594493536,0.014168611909550589,0.7701312717851352
Young,14837,3017,1453,533,0.910804174284174,0.9653220558903499,0.9653220558903499,0.3250559283389136,0.9372705047852468
